Time,Wavelength,LogTOTAL,LogSTELLA,LogNEBUL
.22706E+07,4630.00,37.74453,37.74453,-14.84057
.22706E+07,4650.00,37.73578,37.73578,-14.84132
.22706E+07,4670.00,37.73132,37.73132,-14.84206
.22706E+07,4690.00,37.72421,37.72421,-14.84281
.22706E+07,4710.00,37.71661,37.71661,-14.84356
.22706E+07,4730.00,37.71179,37.71179,-14.84431
.22706E+07,4750.00,37.70487,37.70487,-14.84506
.22706E+07,4770.00,37.69923,37.69923,-14.84581
.22706E+07,4790.00,37.69253,37.69253,-14.84656
.22706E+07,4810.00,37.68547,37.68547,-14.84731
.22706E+07,4830.00,37.67812,37.67812,-14.84807
.22706E+07,4850.00,37.66479,37.66479,-14.84883
.22706E+07,4870.00,37.64856,37.64856,-14.84958
.22706E+07,4890.00,37.65839,37.65839,-14.85034
.22706E+07,4910.00,37.65294,37.65294,-14.85111
.22706E+07,4930.00,37.64489,37.64489,-14.85187
.22706E+07,4950.00,37.64000,37.64000,-14.85263
.22706E+07,4970.00,37.63436,37.63436,-14.85340
.22706E+07,4990.00,37.62777,37.62777,-14.85416
.22706E+07,5010.00,37.61909,37.61909,-14.85493
.22706E+07,5030.00,37.61484,37.61484,-14.85570
.22706E+07,5050.00,37.60766,37.60766,-14.85647
.22706E+07,5070.00,37.60277,37.60277,-14.85724
.22706E+07,5090.00,37.59652,37.59652,-14.85801
.22706E+07,5110.00,37.59018,37.59018,-14.85879
.22706E+07,5130.00,37.58356,37.58356,-14.85956
.22706E+07,5150.00,37.57718,37.57718,-14.86034
.22706E+07,5170.00,37.57139,37.57139,-14.86112
.22706E+07,5190.00,37.56546,37.56546,-14.86190
.22706E+07,5210.00,37.55927,37.55927,-14.86268
.22706E+07,5230.00,37.55328,37.55328,-14.86346
.22706E+07,5250.00,37.54715,37.54715,-14.86425
.22706E+07,5270.00,37.54081,37.54081,-14.86504
.22706E+07,5290.00,37.53543,37.53543,-14.86582
.22706E+07,5310.00,37.52927,37.52927,-14.86661
.22706E+07,5330.00,37.52313,37.52313,-14.86740
.22706E+07,5350.00,37.51725,37.51725,-14.86819
.22706E+07,5370.00,37.51157,37.51157,-14.86899
.22706E+07,5390.00,37.50568,37.50568,-14.86978
.22706E+07,5410.00,37.49925,37.49925,-14.87057
.22706E+07,5430.00,37.49382,37.49382,-14.87137
.22706E+07,5450.00,37.48789,37.48789,-14.87217
.22706E+07,5470.00,37.48215,37.48215,-14.87297
.22706E+07,5490.00,37.47650,37.47650,-14.87377
.22706E+07,5510.00,37.47074,37.47074,-14.87457
.22706E+07,5530.00,37.46486,37.46486,-14.87538
.22706E+07,5550.00,37.45913,37.45913,-14.87619
.22706E+07,5570.00,37.45342,37.45342,-14.87699
.22706E+07,5590.00,37.44772,37.44772,-14.87780
.22706E+07,5610.00,37.44219,37.44219,-14.87861
.22706E+07,5630.00,37.43652,37.43652,-14.87943
.22706E+07,5650.00,37.43041,37.43041,-14.88024
.22706E+07,5670.00,37.42456,37.42456,-14.88106
.22706E+07,5690.00,37.41976,37.41976,-14.88187
.22706E+07,5710.00,37.41500,37.41500,-14.88238
.22706E+07,5730.00,37.40972,37.40972,-14.88258
.22706E+07,5750.00,37.40385,37.40385,-14.88278
.22706E+07,5770.00,37.39875,37.39875,-14.88299
.22706E+07,5790.00,37.39320,37.39320,-14.88319
.22706E+07,5810.00,37.38757,37.38757,-14.88340
.22706E+07,5830.00,37.38200,37.38200,-14.88360
.22706E+07,5850.00,37.37656,37.37656,-14.88380
.22706E+07,5870.00,37.36876,37.36876,-14.88400
.22706E+07,5890.00,37.36524,37.36524,-14.88421
.22706E+07,5910.00,37.36030,37.36030,-14.88441
.22706E+07,5930.00,37.35476,37.35476,-14.88461
.22706E+07,5950.00,37.34912,37.34912,-14.88481
.22706E+07,5970.00,37.34428,37.34428,-14.88502
.22706E+07,5990.00,37.33871,37.33871,-14.88522
.22706E+07,6010.00,37.33356,37.33356,-14.88543
.22706E+07,6030.00,37.32810,37.32810,-14.88563
.22706E+07,6050.00,37.32280,37.32280,-14.88583
.22706E+07,6070.00,37.31765,37.31765,-14.88604
.22706E+07,6090.00,37.31248,37.31248,-14.88624
.22706E+07,6110.00,37.30719,37.30719,-14.88644
.22706E+07,6130.00,37.30188,37.30188,-14.88665
.22706E+07,6150.00,37.29615,37.29615,-14.88685
.22706E+07,6170.00,37.29117,37.29117,-14.88706
.22706E+07,6190.00,37.28635,37.28635,-14.88726
.22706E+07,6210.00,37.28126,37.28126,-14.88747
.22706E+07,6230.00,37.27592,37.27592,-14.88767
.22706E+07,6250.00,37.27048,37.27048,-14.88787
.22706E+07,6270.00,37.26575,37.26575,-14.88808
.22706E+07,6290.00,37.26075,37.26075,-14.88829
.22706E+07,6310.00,37.25542,37.25542,-14.88849
